Fecha,PREC_21205770_BASE_AEREA_MADRID_MADRID,TMin_21205880_FLORES_CHIBCHA_MADRID,TMin_21206060_CASABLANCA_MADRID,PREC_21205420_TIBAITATA_MOSQUERA,TMax_21205420_TIBAITATA_MOSQUERA,TMin_21205420_TIBAITATA_MOSQUERA,PREC_21205960_TACHI_SUBACHOQUE,TMin_21205960_TACHI_SUBACHOQUE,PREC_21201210_EL_HATO_TENJO,TMax_21205980_GRANJA_PROVIDENCIA_TENJO,TMin_21205980_GRANJA_PROVIDENCIA_TENJO,PREC_21206280_ACAPULCO_BOJACA,TMin_21205870_EL_SALITRE_BOJACA,PREC_21201070_EL_CORAZON_FACATATIVA,TMin_21205940_VILLA_INES_FACATATIVA
1996-03-01,0.0,10.4,8.0,0.0,18.6,10.8,0.0,10.4,0.2,20.8,10.9,0.0,9.8,0.0,5.4
1996-03-02,1.2,9.8,4.0,0.0,20.6,8.8,0.0,9.6,0.0,20.2,11.0,0.0,8.6,0.0,3.4
1996-03-03,0.0,6.6,4.0,0.0,19.8,5.8,0.0,6.4,0.0,19.7,6.658062145767417,0.0,6.0,6.4,1.0
1996-03-04,0.1,9.9,3.0,0.2,20.5,4.3,0.0,8.0,2.5,20.0,6.7,0.0,3.4,0.0,9.564169672127994
1996-03-05,0.0,11.9,4.0,0.4,19.0,11.8,0.0,11.6,1.925,19.2,11.2,0.9333333333333332,9.4,5.2,9.8
1996-03-06,0.65,11.2,8.0,0.8,16.8,10.2,0.0,10.2,1.35,16.0,10.0,1.8666666666666665,9.855200662440126,4.7,10.8
1996-03-07,1.3,10.2,8.0,1.2,18.0,10.3,0.0,8.870901550543097,0.7750000000000001,17.6,10.4,2.8,9.4,4.2,10.0
1996-03-08,2.0,11.2,9.0,0.2,16.9,11.0,0.0,10.8,0.2,16.6,11.7,1.4,9.4,0.0,9.6
1996-03-09,0.0,8.6,7.0,2.4,20.5,9.8,1.8,8.0,3.5,19.3,9.4,0.0,8.2,3.0,6.6
1996-03-10,0.1,9.2,7.0,1.3499999999999999,18.9,10.0,2.35,9.0,1.9,18.2,10.0,1.55,8.0,1.5,9.0
1996-03-11,0.2,9.2,8.0,0.3,17.5,10.1,2.9000000000000004,9.8,0.3,19.3,10.4,3.1,9.4,0.0,9.6
1996-03-12,0.0,10.8,6.0,0.0,19.3,11.0,3.45,9.281300857637138,0.0,18.3,11.0,3.0,10.0,1.625,9.4
1996-03-13,0.2,9.8,5.0,0.3,19.0,8.6,4.0,7.8,0.5,17.5,8.4,3.4,7.2,3.25,8.8
1996-03-14,0.0,10.4,8.0,0.3,19.3,6.7,0.0,6.2,0.0,19.0,7.4,0.0,9.6,4.875,10.0
